id,exp_r_pre,comp_a_pre,comp_b_pre,comp_c_pre,comp_d_pre,comp_e_pre,comp_f_pre,comp_g_pre,comp_h_pre,comp_a_post,comp_b_post,comp_c_post,comp_d_post,comp_e_post,comp_f_post,comp_g_post,comp_h_post,met_goals,any_r_exp
124,3,2,2,2,1,2,3,1,3,4,4,3,2,3,3,2,4,1,1
116,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,1
191,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,1,1
117,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1
135,1,1,1,2,2,2,5,2,1,3,2,4,3,3,4,2,3,1,0
169,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
123,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,0
174,2,3,3,3,3,2,2,2,2,4,4,4,4,3,3,4,4,1,1
58,1,2,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
110,1,1,1,1,1,1,2,2,2,3,3,2,3,3,3,3,3,2,0
25,1,3,3,3,2,3,2,2,2,3,3,3,2,3,3,3,3,1,0
47,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
